pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
carroma01,"$4,300,000","$4,700,000","$3,500,000","$3,900,000",,,"$5,450,000","$5,050,000","$1,100,000","$1,188,000",
cartean01,"$1,352,181","$1,306,455",,"$1,352,181",,,"$1,103,225","$1,147,533","$900,498",,"$807,546"
muhamsh01,,,,,"$1,971,960","$1,887,120",,,,,
baxtelo01,,,,,,,,,"$745,248",,"$542,475"
valanjo01,,,"$3,627,720",,"$3,678,360","$3,526,440",,,,,
kellyry01,,,,,"$1,650,000",,,,,,
rayal01,,,,,,,,,,"$412,718",
johnsca01,,,,"$168,035",,,,,,,
cherrwi01,,,,,"$25,000",,,,,,
skinnbr01,"$270,436","$1,306,455",,"$65,446",,,"$1,108,718","$1,262,275","$4,950,000","$5,400,000","$4,500,000"
jonesfr01,,,,,,,"$3,300,000","$622,531","$2,328,843","$3,100,000","$1,572,480"
hoodro01,,,,,"$1,290,360",,,,,,
campbel01,,,,,,,,,,,"$4,400,000"
curryse01,,,,,"$48,028",,,,,,
stoudsa01,,,,,,,"$783,000",,"$675,000","$729,000",
hudsole01,"$192,791","$193,802",,,"$55,774",,,,,,
bakerma01,,,,,,,,,,,
pollasc01,,,,,,,"$1,219,590",,"$6,274,937","$2,200,000","$5,792,250"
robinbe01,,,,,,,"$1,080,000",,"$641,748","$1,000,000","$385,277"
irvinky01,,,"$5,530,080","$5,144,280","$7,070,730","$5,607,240",,,,,
scalabr01,"$1,229,255","$3,413,793",,"$1,352,181",,,"$3,000,000","$3,206,897","$2,586,207","$2,793,103","$900,000"
thomake01,,"$8,775,000",,,,,"$7,875,000","$8,562,500","$6,500,000","$7,187,500","$6,000,000"
plumlmi01,,,"$1,073,280",,"$1,169,880","$1,121,520",,,,,
mccolcj01,,,,,"$2,421,000","$2,316,720",,,,,
tuckepj01,,,"$762,195",,"$5,700,000","$884,293",,,,"$412,718",
buforro01,,,,,,,,,,,"$745,046"
hasleud01,"$3,500,000","$7,100,000","$4,060,000","$3,780,000","$2,732,000","$4,340,000","$6,050,000","$6,575,000","$5,000,000","$5,525,000","$620,046"
smithno01,,,"$1,404,960","$1,306,920",,,,,,,
bogutan01,"$11,000,000","$10,000,000","$13,000,000","$12,000,000","$12,972,973","$14,000,000","$4,991,520","$6,294,310","$4,340,520","$4,665,960",
blakest01,"$4,000,000","$4,930,000","$4,000,000","$4,000,000","$2,077,000","$4,000,000","$4,250,000","$4,250,000","$1,000,000","$1,330,000","$620,046"
richaje01,,,,,,,"$85,932","$769,431",,"$55,365",
cookda02,"$2,169,857","$1,362,120","$589,769","$3,341,558",,,"$1,184,400","$1,273,200",,,
